"rule_id","bucket","authority","standard","standard_versions","severity","executability","pattern","status","core_id","cg_ids","tig_ids","fb_ids","p21_id_equivalent","p21_primitive","overlap_type","message","check_tree_preview","converted_at","notes"
"CG0044","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AESTAT not present in dataset",NA,NA,NA
"CG0045","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--ENRTPT ^= null",NA,NA,NA
"CG0046","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--ENTPT ^= null",NA,NA,NA
"CG0047","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--MODIFY ^= null",NA,NA,NA
"CG0049","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--DECOD and --PTCD have a one-to-one relationship",NA,NA,NA
"CG0050","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--DECOD ^= null",NA,NA,NA
"CG0053","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--REASND not present in dataset",NA,NA,NA
"CG0056","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--STAT not present in dataset",NA,NA,NA
"CG0057","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--ENRTPT present in dataset",NA,NA,NA
"CG0058","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--ENTPT present in dataset",NA,NA,NA
"CG0059","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--STRTPT ^= null",NA,NA,NA
"CG0060","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--STRTPT present in dataset",NA,NA,NA
"CG0061","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--STTPT ^= null",NA,NA,NA
"CG0062","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--STTPT present in dataset",NA,NA,NA
"CG0063","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"EPOCH ^= null",NA,NA,NA
"CG0065","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DSDECOD = 'COMPLETED'",NA,NA,NA
"CG0066","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DSTERM = DSDECOD",NA,NA,NA
"CG0067","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DSDECOD = 'DEATH'",NA,NA,NA
"CG0068","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"For each subject, earliest DSSTDTC = DM.RFICDTC",NA,NA,NA
"CG0069","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DSSTDTC = DM.DTHDTC",NA,NA,NA
"CG0071","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DSTERM = 'COMPLETED' or the reason for discontinuation",NA,NA,NA
"CG0073","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"EPOCH = null",NA,NA,NA
"CG0075","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DVSTDTC >= DM.RFICDTC",NA,NA,NA
"CG0076","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"Event is not derived",NA,NA,NA
"CG0077","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"MHCAT ^= the same value for all records",NA,NA,NA
"CG0078","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"MHENDTC < DM.RFSTDTC",NA,NA,NA
"CG0079","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"MHSTDTC < DM.RFSTDTC",NA,NA,NA
"CG0081","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--STAT = 'NOT DONE'",NA,NA,NA
"CG0082","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--BDSYCD ^= null",NA,NA,NA
"CG0083","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--BDSYCD and --BODSYS have a one-to-one relationship",NA,NA,NA
"CG0084","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--TOX not present in dataset",NA,NA,NA
"CG0085","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--PRESP in ('Y', null)",NA,NA,NA
"CG0086","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--OCCUR ^= null",NA,NA,NA
"CG0087","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--OCCUR = null",NA,NA,NA
"CG0088","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--OCCUR not present in dataset",NA,NA,NA
"CG0089","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--PRESP = 'Y'",NA,NA,NA
"CG0090","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--TPTREF present in dataset",NA,NA,NA
"CG0091","sdtm-ig-v2.0","CDISC","SDTM-IG","3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--TPT present in dataset",NA,NA,NA
"CG0092","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--TPTREF present in dataset",NA,NA,NA
"CG0093","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--TPTREF not present in dataset",NA,NA,NA
"CG0094","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--STAT = 'NOT DONE'",NA,NA,NA
"CG0095","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--LAT not present in dataset",NA,NA,NA
"CG0096","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"CMDECOD ^= null",NA,NA,NA
"CG0097","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"CMTRT = collected on CRF",NA,NA,NA
"CG0098","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"CMTRT = collected medication name only",NA,NA,NA
"CG0099","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--MODIFY ^= null",NA,NA,NA
"CG0100","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ECDOSE > 0",NA,NA,NA
"CG0101","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ECDOSE = null or > 0",NA,NA,NA
"CG0102","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"EXDOSE = 0",NA,NA,NA
"CG0103","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"EXDOSU = protocol-specified unit",NA,NA,NA
"CG0104","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"EXTRT = protocol-specified treatment",NA,NA,NA
"CG0105","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"EXVAMT not present in dataset",NA,NA,NA
"CG0106","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--VAMT = null",NA,NA,NA
"CG0107","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"EXVAMTU not present in dataset",NA,NA,NA
"CG0108","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--VAMTU = null",NA,NA,NA
"CG0109","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DM.ACTARMCD in ('SCRNFAIL', 'NOTASSGN', 'NOTTRT')",NA,NA,NA
"CG0110","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--DOSE = null",NA,NA,NA
"CG0111","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--DOSTXT = null",NA,NA,NA
"CG0112","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--DOSTXT value is non-numeric",NA,NA,NA
"CG0114","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--DOSU ^= null",NA,NA,NA
"CG0115","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--PORTOT not present in dataset",NA,NA,NA
"CG0116","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--DIR not present in dataset",NA,NA,NA
"CG0117","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ACTARM in ('Screen Failure', 'Not Assigned', 'Not Treated', 'Unplanned Treatment')",NA,NA,NA
"CG0118","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ACTARM in TA.ARM",NA,NA,NA
"CG0119","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ACTARM = ARM",NA,NA,NA
"CG0120","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ARM in ('Screen Failure', 'Not Assigned')",NA,NA,NA
"CG0121","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ARM in TA.ARM",NA,NA,NA
"CG0122","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ARM = ACTARM",NA,NA,NA
"CG0123","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ACTARMCD value length <= 20",NA,NA,NA
"CG0124","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ACTARMCD in ('SCRNFAIL', 'NOTASSGN', 'NOTTRT', 'UNPLAN')",NA,NA,NA
"CG0125","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ACTARMCD in TA.ARMCD",NA,NA,NA
"CG0126","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ARMCD in TA.ARMCD",NA,NA,NA
"CG0127","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ACTARMCD = ARMCD",NA,NA,NA
"CG0128","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ARMCD in ('SCRNFAIL', 'NOTASSGN')",NA,NA,NA
"CG0129","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ARMCD = ACTARMCD",NA,NA,NA
"CG0131","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DTHFL in ('Y',null)",NA,NA,NA
"CG0132","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DTHFL = 'Y'",NA,NA,NA
"CG0133","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DTHFL = 'Y'",NA,NA,NA
"CG0134","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DTHFL = 'Y'",NA,NA,NA
"CG0135","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DTHFL = 'Y'",NA,NA,NA
"CG0136","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DTHFL = 'Y'",NA,NA,NA
"CG0138","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Population flags in SUPPDM",NA,NA,NA
"CG0140","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RACE = 'MULTIPLE'",NA,NA,NA
"CG0141","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RFENDTC = null",NA,NA,NA
"CG0142","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RFENDTC ^= null",NA,NA,NA
"CG0143","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RFICDTC = earliest DS.DSSTDTC",NA,NA,NA
"CG0145","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RFSTDTC = null",NA,NA,NA
"CG0146","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RFSTDTC ^= null",NA,NA,NA
"CG0147","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RFXENDTC = latest value of EX.EXSTDTC or EX.EXENDTC",NA,NA,NA
"CG0148","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"RFXSTDTC = earliest EX.EXSTDTC",NA,NA,NA
"CG0149","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SETCD value length <= 8",NA,NA,NA
"CG0150","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"SUBJID unique within a study",NA,NA,NA
"CG0151","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"USUBJID unique within a submission",NA,NA,NA
"CG0152","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ELEMENT = null",NA,NA,NA
"CG0153","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ARMCD value length <= 20",NA,NA,NA
"CG0154","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"ELEMENT and ETCD have a one-to-one relationship",NA,NA,NA
