"core_id","cg_ids","tig_ids","fb_ids","rule_type","description","outcome_message","core_executable","cg_executability","overlap_type"
"CORE-000038","CG0654","TIG0692","","Record Data","Raise an error when SVOCCUR is not null and SVPRESP is not ""Y"".","SVPRESP is not ""Y"" when SVOCCUR is populated.",TRUE,"predicate","true-duplicate"
"CORE-000039","CG0655","TIG0693","","Record Data","Raise an error when SVPRESP=""Y"" and VISITNUM is not in TV.VISITNUM","VISITNUM for planned visit is not in TV.",TRUE,"predicate","true-duplicate"
"CORE-000040","CG0656","TIG0694","","Record Data","Raise an error when SVPRESP is null and VISITNUM is present in TV.VISITNUM","VISITNUM for unplanned visit is present in TV.",TRUE,"narrative","core-is-better"
"CORE-000041","CG0649; CG0459","TIG0689","","Record Data","Raise and error when TSVAL is not populated TSVAL is populated with values or synonyms of values in the ISO 21090 null flavor codelist (or other terms","TSVAL is not populated with an ISO 21090 null flavor or null flavor description but TSVALNF is populated.",TRUE,"narrative","core-is-better"
"CORE-000042","CG0647","TIG0687","","Domain Presence Check","Raise an error when TT dataset is present.","TT dataset is present.",TRUE,"narrative","core-is-better"
"CORE-000043","CG0648","TIG0688","","Domain Presence Check","Raise an error when TP dataset is present.","TP dataset is present.",TRUE,"narrative","core-is-better"
"CORE-000044","CG0646","TIG0686","","Domain Presence Check","Raise an error when SJ dataset is present.","SJ dataset is present.",TRUE,"predicate","true-duplicate"
"CORE-000045","CG0517","TIG0612","","Record Data","Verify ARMNRS is not null when ARMCD is null","ARMNRS value is missing when ARMCD value is missing",TRUE,"narrative","core-is-better"
"CORE-000046","CG0519","TIG0614","","Record Data","Verify ARMNRS is not null when ARM is null","ARMNRS is missing when ARM value is missing",TRUE,"narrative","core-is-better"
"CORE-000047","CG0518","TIG0613","","Record Data","When study does not use multi-stage arm assignments and ARM is populated, ARM must be present in TA.ARM. This rule has been executed to identify all c","ARM value in DM dataset is not among the values of ARM variable in TA dataset. This is allowed only in a multistage stud",TRUE,"predicate","true-duplicate"
"CORE-000048","CG0621","TIG0662","","Record Data","Raise an error when --METHOD is present in an Interventions dataset.","--METHOD is present in an interventions domain.",TRUE,"predicate","true-duplicate"
"CORE-000049","CG0507; CG0622","TIG0602; TIG0663","","Record Data","Raise an error when --USCHFL is present.","--USCHFL is present.",TRUE,"predicate","true-duplicate"
"CORE-000050","CG0623","TIG0664","","Record Data","Raise an error when --RSTIND is present.","--RSTIND is present.",TRUE,"predicate","true-duplicate"
"CORE-000051","CG0624","TIG0665","","Record Data","Raise an error when --RSTMOD is present.","--RSTMOD is present.",TRUE,"predicate","true-duplicate"
"CORE-000052","CG0625","TIG0666","","Record Data","Raise an error when --IMPLBL is present.","--IMPLBL is present.",TRUE,"predicate","true-duplicate"
"CORE-000054","CG0627","TIG0668","","Record Data","Raise an error when --DTHREL is present.","--DTHREL is present.",TRUE,"predicate","true-duplicate"
"CORE-000055","CG0628","TIG0669","","Record Data","Raise an error when --EXCLFL is present.","--EXCLFL is present.",TRUE,"predicate","true-duplicate"
"CORE-000056","CG0629","TIG0670","","Record Data","Raise an error when --REASEX is present.","--REASEX is present.",TRUE,"predicate","true-duplicate"
"CORE-000057","CG0509; CG0630","TIG0604; TIG0671","","Record Data","FETUSID must not be present in SDTM domains.","FETUSID is present.",TRUE,"predicate","true-duplicate"
"CORE-000058","CG0631","TIG0672","","Record Data","Raise an error when RPHASE is present.","RPHASE is present.",TRUE,"predicate","true-duplicate"
"CORE-000059","CG0632","TIG0673","","Record Data","Raise an error when RPPLDY is present.","RPPLDY is present.",TRUE,"predicate","true-duplicate"
"CORE-000060","CG0633","TIG0674","","Record Data","Raise an error when RPPLSTDY is present.","RPPLSTDY is present.",TRUE,"predicate","true-duplicate"
"CORE-000061","CG0634","TIG0675","","Record Data","Raise an error when RPPLENDY is present.","RPPLENDY is present.",TRUE,"predicate","true-duplicate"
"CORE-000064","CG0637","TIG0678","","Record Data","Raise an error when --RPDY is present.","--RPDY is present.",TRUE,"predicate","true-duplicate"
"CORE-000065","CG0638","TIG0679","","Record Data","Raise an error when --RPSTDY is present.","--RPSTDY is present.",TRUE,"predicate","true-duplicate"
"CORE-000066","CG0639","TIG0680","","Record Data","Raise an error when --RPENDY is present.","--RPENDY is present.",TRUE,"predicate","true-duplicate"
"CORE-000067","CG0640","TIG0681","","Record Data","Raise an error when --DETECT is present.","--DETECT is present.",TRUE,"predicate","true-duplicate"
"CORE-000068","CG0641","TIG0682","","Record Data","Raise an error when AGETXT is present.","AGETXT is present.",TRUE,"predicate","true-duplicate"
"CORE-000069","CG0642","TIG0683","","Record Data","Raise an error when SPECIES is present.","SPECIES is present.",TRUE,"predicate","true-duplicate"
"CORE-000070","CG0643","TIG0684","","Record Data","Raise an error when STRAIN is present.","STRAIN is present.",TRUE,"predicate","true-duplicate"
"CORE-000071","CG0644","TIG0685","","Record Data","Raise an error when SBSTRAIN is present.","SBSTRAIN is present.",TRUE,"predicate","true-duplicate"
"CORE-000072","CG0542","","","Record Data","Raise an error when --BEATNO is present.","--BEATNO is present.",TRUE,"predicate","true-duplicate"
"CORE-000073","CG0533","","","Record Data","Raise an error when RPATHCD is present.","RPATHCD is present.",TRUE,"predicate","true-duplicate"
"CORE-000074","CG0508","TIG0603","","Record Data","Raise an error when --IMPLBL is present.","--IMPLBL is present.",TRUE,"predicate","true-duplicate"
"CORE-000075","CG0304","TIG0481","","Record Data","Raise an error when AEREASND is present.","AEREASND is present.",TRUE,"predicate","true-duplicate"
"CORE-000076","CG0302","","","Record Data","Raise an error when TRPORTOT is present.","TRPORTOT is present.",TRUE,"predicate","true-duplicate"
"CORE-000077","CG0301","","","Record Data","Raise an error when TRDIR is present.","TRDIR is present.",TRUE,"predicate","true-duplicate"
"CORE-000078","CG0300","","","Record Data","Raise an error when TRLAT is present.","TRLAT is present.",TRUE,"predicate","true-duplicate"
"CORE-000079","CG0095","","","Record Data","Raise an error when --LOC is not present and --LAT is present.","--LAT is present when --LOC is not present.",TRUE,"predicate","true-duplicate"
"CORE-000080","CG0093","TIG0358","","Record Data","Raise an error when --ELTM, --TPTNUM, and --TPT are not present in dataset, but --TPTREF is present.","--TPTREF is present when --ELTM, --TPTNUM, and --TPT are not present.",TRUE,"predicate","true-duplicate"
"CORE-000081","CG0056","TIG0330","","Record Data","Raise an error when --PRESP is not present but --STAT is present.","--STAT is present when --PRESP is not present.",TRUE,"predicate","true-duplicate"
"CORE-000082","CG0561","","","Record Data","Verify that PESTRESC is null when PEORRES is null","PESTRESC value is not missing when PEORRES value is missing",TRUE,"predicate","true-duplicate"
"CORE-000083","CG0553","TIG0641","","Record Data","Verify that --ORRES is not null when --LOBXFL = Y and --DRVFL= null or --DRVFL is not present in the dataset","--ORRES is missing even though --LOBXFL= ""Y"" and either --DRVFL is not present in dataset or is not equal to ""Y""",TRUE,"predicate","true-duplicate"
"CORE-000084","CG0057","TIG0331","","Record Data","Raise an error when --ENTPT exists in a dataset and --ENRTPT does not exist.","--ENTPT exists in a dataset, but --ENRTPT does not exist.",TRUE,"predicate","true-duplicate"
"CORE-000085","CG0059","TIG0333","","Record Data","Raise an error when --STTPT is completed and --STRTPT is empty","--STTPT is completed and --STRTPT is empty",TRUE,"predicate","true-duplicate"
"CORE-000086","CG0075","TIG0341","","Record Data","Raise an error when DVSTDTC is earlier than RFICDTC in DM.","DVSTDTC is earlier than RFICDTC in DM.",TRUE,"predicate","true-duplicate"
"CORE-000087","CG0387","TIG0549","","Record Data","Raise an error when AESER is completed and value is not 'Y' or 'N'","AESER is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000088","CG0149","TIG0169; TIG0390","","Record Data","Verify that the length of value in SETCD variable is <= 8","SETCD value length is greater than 8",TRUE,"predicate","true-duplicate"
"CORE-000089","CG0106","","","Record Data","Raise an error when --TRTV is empty, --VAMT is not empty","Value for --VAMT is populated, when --TRTV is NULL.",TRUE,"predicate","true-duplicate"
"CORE-000090","CG0164","TIG0397","","Record Data","Verify IDVAR is null when RDOMAIN is null","RDOMAIN has a missing value but IDVAR has a non-missing value",TRUE,"predicate","true-duplicate"
"CORE-000091","CG0108","","","Record Data","Raise an error when --TRTV is null, --VAMTU is not null","Value for --VAMTU is populated, when --TRTV is NULL.",TRUE,"predicate","true-duplicate"
"CORE-000092","CG0110; CG0111","TIG0374; TIG0375","","Record Data","Raise an error when --DOSE ^= null and --DOSTXT ^= null.","Both --DOSE and --DOSTXT values are populated",TRUE,"predicate","true-duplicate"
"CORE-000093","CG0114","TIG0377","","Record Data","Raise an error when --DOSU = null and (--DOSE ^= null or --DOSTOT ^= null or --DOSTXT ^= null)","Missing value for --DOSU, when --DOSE, --DOSTXT or --DOSTOT is provided",TRUE,"predicate","true-duplicate"
"CORE-000094","CG0112","TIG0376","","Record Data","Raise an error if --DOSTXT value is numeric.","--DOSTXT value is numeric.",TRUE,"narrative","core-is-better"
"CORE-000095","CG0211","TIG0430","","Record Data","Raise an error when SEUPDES ^= null, ETCD ^= 'UNPLAN'","ETCD is not 'UNPLAN', when SEUPDES is not empty",TRUE,"predicate","true-duplicate"
"CORE-000096","CG0115","TIG0378","","Record Data","Raise an error when --LOC does not exists in a dataset, --PORTOT exists.","--PORTOT variable is present, when --LOC variable does not exist in a dataset.",TRUE,"predicate","true-duplicate"
"CORE-000097","CG0218","TIG0432","","Record Data","Raise an error when variable EPOCH values don't match between Subject Visits (SV) and Subject Elements (SE) datasets.","EPOCH values don't match between Subject Visits (SV) and Subject Elements (SE) datasets.",TRUE,"predicate","true-duplicate"
"CORE-000098","CG0116","TIG0379","","Record Data","Raise an error when --LOC does not exists in a dataset, --DIR exists.","--DIR variable is present, when --LOC variable does not exist in a dataset.",TRUE,"predicate","true-duplicate"
"CORE-000099","CG0422","TIG0577","","Record Data","Raise an error when both --ORRES and --STAT values are populated","Value for --STAT is populated, when --ORRES is populated",TRUE,"predicate","true-duplicate"
"CORE-000100","CG0423","TIG0578","","Record Data","Raise an error when --VAMT is not empty, but --TRTV is empty.","Missing --TRTV value, when --VAMT value is populated.",TRUE,"predicate","true-duplicate"
"CORE-000101","CG0427","TIG0581","","Record Data","Raise an error when --RESCAT is not empty, but --STRESC is empty","Missing --STRESC value, when --RESCAT value is populated.",TRUE,"predicate","true-duplicate"
"CORE-000102","CG0428","TIG0582","","Record Data","Raise an error when --TOX is not empty, but --TOXGR is empty.","--TOXGR should not be null when --TOX is populated.",TRUE,"predicate","true-duplicate"
"CORE-000103","CG0429","TIG0583","","Record Data","Part A - Raise an error when --SCAT is not empty, but --CAT is empty.","--CAT should not be null when --SCAT is populated",TRUE,"predicate","true-duplicate"
"CORE-000104","CG0430","TIG0584","","Record Data","Part A - Raise an error when --SCAT exists in a dataset, but --CAT does not exist.","--SCAT exists in a dataset, but --CAT does not exist.",TRUE,"predicate","true-duplicate"
"CORE-000105","CG0569","TIG0653","FB2602","Record Data","Raise an error when --LOBXFL = 'Y' and --STRESC is empty.","--LOBXFL = 'Y', but --STRESC is empty.",TRUE,"predicate","true-duplicate"
"CORE-000106","CG0045","TIG0324","","Record Data","Raise an error when --ENTPT is completed and --ENRTPT is not completed.","--ENTPT is completed, but --ENRTPT is not completed.",TRUE,"predicate","true-duplicate"
"CORE-000107","CG0554","TIG0642","","Record Data","APID is required in all Associated Persons Data. In addition to STUDYID, DOMAIN, and --SEQ being required for all domains based on one of the 3 genera","An appropriate identifier is not present; USUBJID, APID, SPDEVID, SPTOBID, POOLID, SPTOBID, STOCONID should be present.",TRUE,"narrative","core-is-better"
"CORE-000108","CG0133","TIG0382","FB0602","Record Data","When a record is present in the DD dataset then death flag (DTHFL) should be populated as 'Y' in the DM dataset for the corresponding subject.","DD record is present, but DTHFL in DM dataset is not ""Y"".",TRUE,"predicate","true-duplicate"
"CORE-000109","CG0547","","","Record Data","Raise an error when SMSTDTC is null.","SMSTDTC is null.",TRUE,"predicate","true-duplicate"
"CORE-000110","CG0549","TIG0637","","Record Data","Raise an error when (--ORREF ^= null or --DRVFL='Y') and --STREFC is null.","--STREFC is null when --ORREF is non-empty or --DRVFL is equal to 'Y'",TRUE,"predicate","true-duplicate"
"CORE-000111","CG0564","TIG0649","","Record Data","Raise an error when --AGENT is present in a dataset other than MS.","--AGENT is present in a dataset other than MS.",TRUE,"predicate","true-duplicate"
"CORE-000112","CG0565","TIG0650","","Record Data","Raise an error when --CONC is present in a dataset other than MS.","--CONC is present in a dataset other than MS.",TRUE,"predicate","true-duplicate"
"CORE-000113","CG0566","TIG0651","","Record Data","Raise an error when --CONCU is present in a dataset other than MS.","--CONCU is present in a dataset other than MS.",TRUE,"predicate","true-duplicate"
"CORE-000114","CG0567","TIG0652","","Record Data","Raise an error when --EVDTYP is present in a dataset other than MH.","--EVDTYP is present in a dataset other than MH.",TRUE,"predicate","true-duplicate"
"CORE-000115","CG0570","","","Record Data","Raise an error when ARM is 'Screen Failure', 'Not Assigned', 'Unplanned Treatment', 'Not Treated'","ARM cannot be equal to 'Screen Failure', 'Not Assigned', 'Unplanned Treatment' or 'Not Treated'.",TRUE,"narrative","core-is-better"
"CORE-000116","CG0619","TIG0660","","Record Data","Raise an error when --SPCUFL is not null or equal to ""N""","--SPCUFL is not null or equal to 'N'",TRUE,"narrative","core-is-better"
"CORE-000117","CG0081","TIG0346","","Record Data","Raise an error when --STAT not equal to 'NOT DONE' when --PRESP = 'Y' and --OCCUR is null","--STAT should equal 'NOT DONE' when --PRESP = 'Y' and --OCCUR = null",TRUE,"narrative","core-is-better"
"CORE-000118","CG0404","TIG0562","","Record Data","Raise an error when --PRESP is equal to 'Y' and --OCCUR is empty and --STAT is not present in dataset.","--STAT is not present in dataset when --PRESP is equal to ""Y"" and --OCCUR is blank",TRUE,"narrative","core-is-better"
"CORE-000119","CG0521","TIG0616","","Record Data","Raise an error when ARM is not empty, but ARMCD is empty","ARM is populated, when ARMCD is NULL",TRUE,"predicate","true-duplicate"
"CORE-000120","CG0522","TIG0617","","Record Data","Raise an error when ACTARM is not empty, but ACTARMCD is empty","ACTARM is populated, when ACTARMCD is NULL",TRUE,"predicate","true-duplicate"
"CORE-000121","CG0520","TIG0615","","Record Data","Verify the value for ARMNRS, when both ARMCD and ACTARMCD values are populated","Value for ARMNRS is populated, when both ARMCD and ACTARMCD values are populated",TRUE,"narrative","core-is-better"
"CORE-000122","CG0434","TIG0586","","Record Data","Raise an error when AGEU is completed but both AGETXT and AGE are not completed.","AGEU is completed, but both AGE and AGETXT are not completed.",TRUE,"predicate","true-duplicate"
"CORE-000123","CG0388","TIG0550","","Record Data","Raise an error when AESCAN is completed and value is not 'Y' or 'N'","AESCAN is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000124","CG0389","TIG0551","","Record Data","Raise an error when AESCONG is completed and value is not 'Y' or 'N'","AESCONG is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000125","CG0390","TIG0552","","Record Data","Raise an error when AESDISAB is completed and value is not 'Y' or 'N'","AESDISAB is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000126","CG0391","TIG0553","","Record Data","Raise an error when AESDTH is completed and value is not 'Y' or 'N'","AESDTH is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000127","CG0392","TIG0554","","Record Data","Raise an error when AESHOSP is completed and value is not 'Y' or 'N'","AESHOSP is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000128","CG0393","TIG0555","","Record Data","Raise an error when AESLIFE is completed and value is not 'Y' or 'N'","AESLIFE is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000129","CG0394","TIG0556","","Record Data","Raise an error when AESOD is completed and value is not 'Y' or 'N'","AESOD is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000130","CG0395","TIG0557","","Record Data","Raise an error when AESMIE is completed and value is not 'Y' or 'N'","AESMIE is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000131","CG0396","TIG0558","","Record Data","Raise an error when AECONTRT is completed and value is not 'Y' or 'N'","AECONTRT is completed, but not equal to ""N"" or ""Y""",TRUE,"narrative","core-is-better"
"CORE-000132","CG0154","","FB0914","Record Data","ETCD and ELEMENT should have a one-to-one relationship.","ETCD and ELEMENT do not have a one-to-one relationship.",TRUE,"predicate","true-duplicate"
"CORE-000133","CG0426","TIG0580","","Record Data","When --STRESU is populated, --STRESC must also be populated. Please note that this rule, as executed, cannot check if --STRESC is populated with the s","Missing value for --STRESC, when --STRESU is provided",TRUE,"predicate","true-duplicate"
"CORE-000134","CG0203","TIG0423","","Record Data","Raise an error when RDOMAIN ^= 'DM' and IDVAR is empty.","RDOMAIN is not 'DM' but IDVAR is empty.",TRUE,"predicate","true-duplicate"
"CORE-000135","CG0204","TIG0424","","Record Data","Raise an error when IDVAR is not empty and IDVARVAL is empty.","IDVAR is not empty but IDVARVAL is empty.",TRUE,"predicate","true-duplicate"
"CORE-000136","CG0201","TIG0422","","Record Data","Raise an error when IDVARVAL and USUBJID are empty and IDVAR = Sequence Number.","IDVARVAL and USUBJID are not completed, but IDVAR equals Sequence Number.",TRUE,"predicate","true-duplicate"
"CORE-000137","CG0100","TIG0365","","Record Data","Raise an error when ECOCCUR is not equal to 'N', ECSTAT and ECDOSTXT are both empty but ECDOSE less than or equal to 0.","ECOCCUR is not 'N', ECSTAT and ECDOSTXT are both empty but ECDOSE is less than or equal to 0.",TRUE,"narrative","core-is-better"
"CORE-000138","CG0221","TIG0435","","Record Data","If --STDTC or DM.RFSTDTC does not contain a complete values, --STDY must be null.","--STDY is not null when either --STDTC or DM.RFSTDTC do not contain complete values in their date portion",TRUE,"narrative","core-is-better"
"CORE-000139","CG0223","TIG0437","","Record Data","Trigger error if --ENDTC or DM.RFSTDTC does not contain complete values in their date portion, and --ENDY is not null.","--ENDY is not null when either --ENDTC or DM.RFSTDTC do not contain complete values in their date portion",TRUE,"narrative","core-is-better"
"CORE-000140","CG0225","TIG0438","","Record Data","Trigger error if VISITDY is populated when VISITNUM is not in TV.","VISITDY is not null when VISITNUM is not in TV.VISITNUM",TRUE,"narrative","core-is-better"
"CORE-000141","CG0240","TIG0448","FB0922","Record Data","VISITNUM and --TPTREF are not present then --TPT and --TPTNUM should have a one-to-one relationship.","--TPT and --TPTNUM do not have a one-to-one relationship.",TRUE,"narrative","core-is-better"
"CORE-000142","CG0241","TIG0449","","Record Data","Raise an error when --TPT ^= null and --TPTNUM ^= null and --ELTM ^= null and --ELTM does not have the same value across records with the same values ","--ELTM is not the same value across records with the same values of DOMAIN, VISITNUM, --TPTREF, and --TPTNUM.",TRUE,"narrative","core-is-better"
"CORE-000143","CG0246","TIG0450; TIG0165","","Record Data","The length of ETCD should be no greater than 8","ETCD value is greater than 8",TRUE,"predicate","true-duplicate"
"CORE-000144","CG0247","TIG0451","","Record Data","Trigger error when TAETORD is not unique within an ARM","TAETORD is not unique within ARM",TRUE,"narrative","core-is-better"
"CORE-000145","CG0255","","","Record Data","Trigger error when TIVERS is present and IETESTCD is not unique within TIVERS","IETESTCD is not unique within TIVERS",TRUE,"narrative","core-is-better"
"CORE-000146","CG0256","","","Record Data","Trigger error when IETESTCD is not unique within dataset","IETESTCD is not unique",TRUE,"narrative","core-is-better"
"CORE-000147","CG0257","TIG0178; TIG0461","","Record Data","Trigger error when length of TSPARMCD is greater than 8","Length of TSPARMCD is greater than 8",TRUE,"predicate","true-duplicate"
"CORE-000148","CG0258","TIG0462","","Record Data","Trigger error when length of TSPARM value is greater than 40","Length of TSPARM is greater than 40",TRUE,"predicate","true-duplicate"
